id,description
1,"Смартфон Apple iPhone 15 Pro Max 256GB Natural Titanium. Отличная камера и батарея. Текущая цена 145 000 рублей."
2,"Оригинальные кроссовки Nike Air Max 90 белые, размер 42. Идеально для бега. Стоимость 12500 руб."
3,"Игровой ноутбук ASUS ROG Strix G15 с видеокартой RTX 4060. Стоит 135 тысяч р. Без ОС."
4,"Пылесос Dyson V15 Detect Absolute. Мощный беспроводной пылесос за 75000 рублей."
5,"Телевизор Samsung 55 дюймов 4K Smart TV. Тонкие рамки, отличный звук. Покупали за 60000 руб."
6,"Беспроводные наушники Sony WH-1000XM5 с активным шумоподавлением. Цвет черный. За эти наушники придется отдать 35 000 р."
7,"Спортивная куртка Adidas Tiro 21. Легкая, дышащая ткань, идеально для тренировок на улице. Отдам за 4500 рублей."
8,"Кофемашина DeLonghi Magnifica S. Делает отличный эспрессо и капучино. В магазинах стоит около 30 000 руб, но работает на все сто."
9,"Электрическая зубная щетка Oral-B Pro 3 3000. Имеет 3 режима чистки и датчик давления. Итоговая стоимость всего 4000 рублей."
10,"Городской рюкзак The North Face Borealis Classic. Очень вместительный, много скрытых карманов. Цена 8900 руб."
11,"Планшет Xiaomi Pad 6 8/256GB. Экран 144 Гц, отлично подходит для мобильных игр и просмотра видео. Обойдется в 32000 рублей."
12,"Умные часы Apple Watch Series 9 45mm. Измерение кислорода в крови, точный пульсометр. Цена 48 000 руб."
13,"Топовая видеокарта GIGABYTE GeForce RTX 4070 Ti 12GB. Тянет абсолютно все современные игры на ультра-настройках графики. Стоит 85 тысяч рублей."
14,"Микроволновая печь LG NeoChef соло. Стильный черный дизайн, равномерный разогрев пищи. Цена 11 500 рублей в DNS."
15,"Зимние ботинки Timberland 6-Inch Premium. Натуральная кожа, полностью водонепроницаемые и теплые. Продаю за 18 000 руб."
16,"Стиральная машина Bosch Serie 4. Максимальная загрузка 7 кг, очень тихая работа. Обойдется покупателю в 45000 рублей."
17,"Беззеркальный фотоаппарат Canon EOS R5 Body. Профессиональная камера, снимает видео в 8K. Цена кусается — 320 000 рублей."
18,"Беспроводная игровая мышь Logitech G Pro X Superlight. Очень легкая, идеальный сенсор без срывов. В рознице 13000 руб."
19,"Паровой утюг Philips Azur 8000 Series. Мощный паровой удар, подошва не портит деликатную ткань. Цена 9500 рублей."
20,"Электросамокат Ninebot KickScooter Max G2. Огромный запас хода до 70 км, мягкие амортизаторы. Стоимость 65000 рублей."
21,"Двухкамерный холодильник Haier с системой No Frost. Цвет красивый серебристый. Очень вместительный. Цена 55000 руб."
22,"Палатка кемпинговая Outventure на 4 человека. Водостойкий тент, легко собирается даже новичком. Цена 15000 рублей."
23,"Робот-пылесос Roborock S8. Отлично строит карты помещения, качественно моет полы. В магазинах электроники можно найти за 58 000 руб."
24,"Электрический гриль Tefal Optigrill+. Умный прибор, сам определяет нужную степень прожарки стейка. Цена 16000 рублей."
25,"Фен для волос Dyson Supersonic. Умный контроль температуры не пересушивает волосы, в комплекте магнитные насадки. Итоговая цена 42000 рублей."
